Catálogo,Categoria,Item,Perguntas,Requisitos,Palavra-chave,OBS:,breadcrumb,
Fiscal,Suporte e Atendimento,Análise de RECOPI (registro e controle das operações com papel imune),-Você está tentando fazer uma venda de papel Imune (RECOPI)?,"- Número do cliente no SAP
- Relato do erro;
- Anexo
- Número da remessa
- Número do lançamento no SAP","-RECOPI;
- REMESSA;
- PAPEL IMUNE;
- Monitor RECOPI;",O que possibilita a consulta do documento ( vende de papel Imune) é a remessa;,,
Fiscal,Operações Fiscais,Abertura de Filial," - Vai ser preciso abrir uma nova filial?
"," - Data da inauguração;
 - Anexo;
 - Nome do responsável da Filial;
 - Descrição"," - Abertura;
 - Nova filial;
 - Abertura de filial;",Abertura de uma nova filial,,
Fiscal,Operações Fiscais,Alteração de endereço de Filial,- Será feita a alteração do endereço da filial?," - Nome do responsável da Filial
 - Data da alteração
 - CNPJ da Filial
 - Novo endereço completo
- Ajuste mandatório
- Descrição
- Anexo"," - Alteração
 - Mudança de filial;
 - Alteração de endereço de filial;",Alteração do endereço de uma filial já existente,,
Fiscal,Operações Fiscais,Alteração de CNAE (classificação nacional de atividades econômicas),-Será preciso alterar o CNAE?," - CNPJ da Filial
 - Inscrição Estadual da Filial 
 - Endereço completo da Filial
 - Nome do responsável da Filial
 - Data da alteração
 - Anexo
 - Descrição da nova atividade (Atividade deve constar no contrato social)",Alteração de CNAE (classificação nacional de atividades econômicas),Alterar o CNAE da empresa,,
Fiscal,Operações Fiscais,Baixa da Filial,É preciso que seja feita a baixa da filial?," - CNPJ da Filial
 - Inscrição Estadual da Filial 
 - Endereço completo da Filial
 - Nome do responsável da Filial
 - Data da baixa
 - A filial possui imóvel cadastrado? (Sim; Não)
 - A filial possui colaboradores prestando serviço? (Sim; Não)
- Descrição
- Anexo",Baixa de filial,A solicitação é aberta para baixa de filial,,
Fiscal,Operações Fiscais,Abertura de nova Inscrição Estadual,É preciso a abertura de uma nova Inscrição estadual para a filial?," - CNPJ da Filial
 - Endereço completo da Filial
 - Nome do responsável da Filial
- Anexo
- Descrição"," - IE
 - Inscrição Estadual
 - Nova IE
- Nova Inscrição Estadual
",Abertura de uma Inscrição estadual para a filial,,
Fiscal,Operações Fiscais,Atualização de dados societários,"-  É preciso atualizar os dados societários?
 - É preciso alterar o QSA?
 - É preciso alterar o Contador? 
 - É preciso alterar o Capital?
","-   Tipo de serviço (Alteração de QSA (Quadro societário Administrativo) - estadual e municipal; Alteração do contador; Alteração de capital)
 - Data da alteração
 - Anexo
- Descrição"," - Atualização;
 - Dados societários;
 - QSA;
- Quadro Societário Administrativo;
 - Contador;
 - Capital;
",Solicitação de atualização de dados societários,,
Fiscal,Operações Fiscais,Abertura de CEI (cadastro específico do INSS),É preciso abertura da CEI?," - Data de início da obra;
 - Área em construção (m²)
- Anexo
- Descrição"," - CEI;
 - INSS;
 -Abertura de CEI ;

",Abertura de CEI (cadastro específico do INSS),,
Fiscal,Operações Fiscais,Fechamento de CEI (cadastro específico do INSS),É preciso fechamento da CEI?," - Data de encerramento da obra 
 - Descrição
-  Anexo"," - CEI;
 - INSS;
 -Encerramento de CEI ;

",Encerramento de CEI (cadastro específico do INSS),,
Fiscal,Operações Fiscais,Inclusão/manutenção de transportadora em benefício fiscal Suzano," - É preciso inclusão de transportadora em benefício fiscal da Suzano?
 - É preciso manutenção de transportadora em benefício fiscal da Suzano?
","- Tipo de serviço (Solicitação de Averbação; Alterações cadastrais)  
- Razão Social da Transportadora 
- CNPJ da Transportadora
- Endereço da Transportadora
 - Inscrição Estadual da Transportadora 
 - Telefone de contato da Transportadora
- Descrição
-  Anexo","-Inclusão de transportadora ;
-Manutenção de transportadora                       -Solicitação de Averbação;                                       -Alterações cadastrais;
","-Solicitação de manutenção , inclusão , solicitação de Averbação, Alterações cadastrais",,
